,EMP_ID,EMPName,certificate_name,certificate_status,skill_table,skill_proficiency,tech_stack
14,EMP_15,Barri Scrivner,"Scikit-learn,Flask,Xcode,Figma,Computer Vision","Rejected,Rejected,Approved,Approved,Rejected","Scikit-learn,Flask,Xcode,Figma,Computer Vision","Intermediate,Advanced,Intermediate,Advanced,Advanced","Data Science,Scrum,Technical Writing,HTML,Git,Statistical Analysis,Requirements Analysis,Collaboration,Flask,GraphQL,Responsive Design,PostgreSQL"
15,EMP_16,Danya Lamplugh,"RESTful APIs,Ethereum),UI/UX Design Principles,Creativity and Innovation","Approved,Rejected,Rejected,Rejected","RESTful APIs,Ethereum),UI/UX Design Principles,Creativity and Innovation","Beginner,Beginner,Beginner,Intermediate","MySQL,Containerization,GraphQL,Agile Methodologies,Objective-C,Product Management,Continuous Integration,CI/CD,Information Security,MongoDB,Leadership,Wireframing"
16,EMP_17,Blanch Boggis,"Android Studio,Django,Selenium,Docker","Rejected,Approved,Approved,Rejected","Android Studio,Django,Selenium,Docker","Beginner,Beginner,Advanced,Advanced","MongoDB,Artificial Intelligence,JavaScript,Vue.js,NoSQL,.NET,Problem Solving,Continuous Deployment,Ruby,GraphQL,Collaboration,CSS"
17,EMP_18,Kitty Tschirschky,"Creativity and Innovation,Jenkins,Ethereum),Arduino,AWS","Rejected,Rejected,Rejected,Rejected,Rejected","Creativity and Innovation,Jenkins,Ethereum),Arduino,AWS","Advanced,Beginner,Beginner,Advanced,Intermediate","Objective-C,Requirements Analysis,Product Management,Flask,Responsive Design,HTML,Accessibility,Continuous Deployment,PHP,Docker,Swift,CSS"
18,EMP_19,Hayden Rentalll,"Kubernetes,Creativity and Innovation,JIRA,Attention to Detail,Project Management Skills","Rejected,Rejected,Rejected,Approved,Rejected","Kubernetes,Creativity and Innovation,JIRA,Attention to Detail,Project Management Skills","Intermediate,Beginner,Beginner,Advanced,Intermediate","Data Visualization,Objective-C,NoSQL,Data Science,JavaScript,Continuous Deployment,Continuous Deployment,Accessibility,Cryptography,CI/CD,Troubleshooting,Flask"
19,EMP_20,Barris Easthope,"Selenium,RESTful APIs,Problem-Solving Skills,Jenkins","Approved,Approved,Approved,Rejected","Selenium,RESTful APIs,Problem-Solving Skills,Jenkins","Intermediate,Intermediate,Beginner,Advanced","React,MySQL,C#,Wireframing,Test-Driven Development,Interaction Design,Documentation,PHP,Network Security,Network Security,GraphQL,Information Security"
20,EMP_21,Dyanne Sissons,"Leadership Abilities,SQL,Spring Framework,AWS","Approved,Approved,Rejected,Approved","Leadership Abilities,SQL,Spring Framework,AWS","Intermediate,Intermediate,Intermediate,Beginner",".NET,Problem Solving,Behavior-Driven Development,JavaScript,.NET,Python,React,Collaboration,Wireframing,.NET,CSS,Cryptography"
21,EMP_22,Aristotle Durrell,"Google Cloud Platform,Spark),UI/UX Design Principles,Leadership Abilities,PostgreSQL","Approved,Approved,Approved,Rejected,Approved","Google Cloud Platform,Spark),UI/UX Design Principles,Leadership Abilities,PostgreSQL","Beginner,Advanced,Advanced,Intermediate,Intermediate","AWS,Cryptography,CSS,Information Security,Cybersecurity,PHP,Ruby,React,Containerization,Artificial Intelligence,Java,Statistical Analysis"
22,EMP_23,Martainn MacGown,"Selenium,Blockchain Development (Solidity,RESTful APIs,RESTful APIs,Research Skills","Rejected,Approved,Approved,Rejected,Approved","Selenium,Blockchain Development (Solidity,RESTful APIs,RESTful APIs,Research Skills","Beginner,Beginner,Intermediate,Advanced,Beginner","Azure,Ruby,Agile Product Management,Django,Flask,NoSQL,Test-Driven Development,Documentation,NoSQL,AWS,Technical Writing,Accessibility"
23,EMP_24,Gratiana Chark,"Leadership Abilities,Leadership Abilities,Angular,AWS,Project Management Skills","Rejected,Approved,Rejected,Rejected,Rejected","Leadership Abilities,Leadership Abilities,Angular,AWS,Project Management Skills","Beginner,Advanced,Intermediate,Beginner,Beginner","Agile Product Management,Leadership,PHP,Information Security,Network Security,HTML,Kotlin,Scrum,Network Security,Data Science,Wireframing,Prototyping"
24,EMP_25,Winnifred Rouf,"Python,Kubernetes,MySQL,Flask,Kubernetes","Rejected,Rejected,Approved,Rejected,Rejected","Python,Kubernetes,MySQL,Flask,Kubernetes","Advanced,Beginner,Advanced,Intermediate,Beginner","Kubernetes,Statistical Analysis,C#,Git,Troubleshooting,Kotlin,Product Management,Prototyping,GraphQL,Continuous Integration,Data Analysis,Objective-C"
25,EMP_26,Noelyn Hinder,"MongoDB,RESTful APIs,AWS,Technical Proficiency (specific to the employee's field),Selenium","Approved,Rejected,Rejected,Approved,Rejected","MongoDB,RESTful APIs,AWS,Technical Proficiency (specific to the employee's field),Selenium","Intermediate,Intermediate,Beginner,Intermediate,Intermediate","HTML,Containerization,Business Analysis,Network Security,Statistical Analysis,Continuous Integration,Angular,Problem Solving,Scrum,Information Security,GraphQL,Objective-C"
26,EMP_27,Collette Penrose,"Figma,AWS,Teamwork and Collaboration,JIRA,Attention to Detail","Rejected,Rejected,Approved,Approved,Rejected","Figma,AWS,Teamwork and Collaboration,JIRA,Attention to Detail","Beginner,Intermediate,Advanced,Beginner,Advanced","Node.js,Continuous Integration,Django,AWS,Interaction Design,Leadership,CI/CD,Leadership,Cryptography,AWS,Containerization,MySQL"
27,EMP_28,Glenine Lynes,"Kotlin,Communication Skills,Technical Proficiency (specific to the employee's field),Blockchain Development (Solidity,Docker","Rejected,Approved,Rejected,Rejected,Rejected","Kotlin,Communication Skills,Technical Proficiency (specific to the employee's field),Blockchain Development (Solidity,Docker","Advanced,Intermediate,Beginner,Intermediate,Beginner","Angular,Cryptography,MySQL,AWS,Kubernetes,SQL,MongoDB,Vue.js,Scrum,Kotlin,Continuous Integration,Django"
28,EMP_29,Tedman Tunaclift,"Natural Language Processing (NLP),Jenkins,Teamwork and Collaboration,Hibernate,Azure","Rejected,Approved,Rejected,Rejected,Approved","Natural Language Processing (NLP),Jenkins,Teamwork and Collaboration,Hibernate,Azure","Advanced,Advanced,Intermediate,Beginner,Intermediate","Agile Product Management,Machine Learning,Product Management,User Research,Git,Google Cloud Platform,Communication,Data Visualization,Troubleshooting,Agile Methodologies,Responsive Design,Collaboration"
29,EMP_30,Lenora Bande,"JIRA,React.js,Project Management Skills,Java,Spring Framework","Approved,Approved,Approved,Rejected,Rejected","JIRA,React.js,Project Management Skills,Java,Spring Framework","Beginner,Intermediate,Beginner,Intermediate,Intermediate","Data Analysis,Cybersecurity,React,SQL,NoSQL,Data Analysis,Vue.js,Accessibility,Flask,CI/CD,Support,HTML"
30,EMP_31,Guenna People,"Flask,UI/UX Design Principles,IoT Development,Docker,PostgreSQL","Rejected,Approved,Approved,Approved,Rejected","Flask,UI/UX Design Principles,IoT Development,Docker,PostgreSQL","Advanced,Beginner,Beginner,Advanced,Intermediate","AWS,Cryptography,Responsive Design,Scrum,User Research,Kubernetes,Data Visualization,Support,Product Management,Data Visualization,Prototyping,Cryptography"
31,EMP_32,Trever Burd,"Express.js,Kotlin,Ethereum),React.js,Problem-Solving Skills","Approved,Approved,Approved,Rejected,Rejected","Express.js,Kotlin,Ethereum),React.js,Problem-Solving Skills","Intermediate,Advanced,Beginner,Advanced,Advanced","PostgreSQL,Artificial Intelligence,Agile Product Management,PostgreSQL,Penetration Testing,Support,Kotlin,Penetration Testing,Python,Leadership,Vue.js,Responsive Design"
32,EMP_33,Gwenette Lattka,"JavaScript,Xcode,Raspberry Pi,Problem-Solving Skills,Analytical Skills","Approved,Rejected,Approved,Rejected,Approved","JavaScript,Xcode,Raspberry Pi,Problem-Solving Skills,Analytical Skills","Advanced,Intermediate,Beginner,Beginner,Beginner","DevOps,Flask,Interaction Design,Google Cloud Platform,Node.js,Behavior-Driven Development,GraphQL,User Stories,Artificial Intelligence,Data Analysis,Microservices,Vue.js"
33,EMP_34,Didi Kegan,"Project Management Skills,Raspberry Pi,Communication Skills,Angular,Azure","Approved,Approved,Approved,Rejected,Approved","Project Management Skills,Raspberry Pi,Communication Skills,Angular,Azure","Advanced,Advanced,Advanced,Intermediate,Beginner","MongoDB,Data Visualization,Swift,Ruby,Kotlin,SQL,User Stories,Agile Methodologies,Communication,Data Science,Scrum,Behavior-Driven Development"
34,EMP_35,Nolana Pyffe,"Natural Language Processing (NLP),Google Cloud Platform,Swift,Adaptability,Adobe XD","Approved,Approved,Approved,Approved,Approved","Natural Language Processing (NLP),Google Cloud Platform,Swift,Adaptability,Adobe XD","Beginner,Beginner,Intermediate,Advanced,Advanced","Accessibility,Continuous Deployment,Documentation,Swift,MySQL,C#,Network Security,Documentation,Behavior-Driven Development,Statistical Analysis,Interaction Design,Azure"
35,EMP_36,Constancia Aubrey,"Node.js,Project Management Skills,Natural Language Processing (NLP),Adaptability,JIRA","Rejected,Rejected,Rejected,Approved,Approved","Node.js,Project Management Skills,Natural Language Processing (NLP),Adaptability,JIRA","Beginner,Beginner,Intermediate,Advanced,Advanced","React,Microservices,AWS,Ruby,JavaScript,Microservices,Data Analysis,Network Security,Google Cloud Platform,CI/CD,Product Management,Cryptography"
36,EMP_37,Ashbey Dows,"Research Skills,Xcode,Python,Kotlin,Kotlin","Approved,Rejected,Rejected,Rejected,Rejected","Research Skills,Xcode,Python,Kotlin,Kotlin","Intermediate,Beginner,Advanced,Intermediate,Intermediate","Java,NoSQL,Cryptography,Kotlin,Prototyping,Angular,Scrum,Kotlin,Collaboration,.NET,Continuous Deployment,Django"
37,EMP_38,Odie Lidgey,"Analytical Skills,Git,Networking Abilities,Teamwork and Collaboration,Spark)","Rejected,Rejected,Approved,Approved,Rejected","Analytical Skills,Git,Networking Abilities,Teamwork and Collaboration,Spark)","Intermediate,Beginner,Beginner,Intermediate,Advanced","Documentation,Troubleshooting,DevOps,Scrum,MongoDB,Python,Troubleshooting,Agile Product Management,CSS,NoSQL,Azure,UI/UX Design"
38,EMP_39,Evan Seiter,"Python,Teamwork and Collaboration,Figma,AWS,Decision-Making Skills","Approved,Rejected,Rejected,Approved,Approved","Python,Teamwork and Collaboration,Figma,AWS,Decision-Making Skills","Beginner,Intermediate,Intermediate,Advanced,Advanced","Wireframing,Communication,Swift,NoSQL,Containerization,JavaScript,UI/UX Design,Troubleshooting,MySQL,GraphQL,MySQL,React"
39,EMP_40,Burch Hannan,"Swift,AWS,Project Management Skills,UI/UX Design Principles,Teamwork and Collaboration","Rejected,Approved,Approved,Rejected,Approved","Swift,AWS,Project Management Skills,UI/UX Design Principles,Teamwork and Collaboration","Advanced,Beginner,Beginner,Intermediate,Intermediate","Data Analysis,Behavior-Driven Development,Requirements Analysis,Swift,Cybersecurity,Interaction Design,Objective-C,Artificial Intelligence,UI/UX Design,MongoDB,GraphQL,Problem Solving"
40,EMP_41,Adel Shawel,"Express.js,Project Management Skills,Time Management,JIRA,Attention to Detail","Rejected,Rejected,Rejected,Rejected,Rejected","Express.js,Project Management Skills,Time Management,JIRA,Attention to Detail","Advanced,Intermediate,Advanced,Beginner,Intermediate","Behavior-Driven Development,Requirements Analysis,RESTful API,Django,Microservices,Responsive Design,Product Management,Behavior-Driven Development,Cryptography,Behavior-Driven Development,MongoDB,Accessibility"
41,EMP_42,Land Brain,"Customer Service Skills,SQL,Raspberry Pi,JavaScript,Time Management","Rejected,Rejected,Approved,Approved,Rejected","Customer Service Skills,SQL,Raspberry Pi,JavaScript,Time Management","Beginner,Intermediate,Beginner,Intermediate,Advanced","C#,RESTful API,Python,Interaction Design,Cryptography,Swift,MySQL,Documentation,Accessibility,Django,Swift,Product Management"
42,EMP_43,Wendye Fessions,"TensorFlow,TensorFlow,Django,Selenium,React.js","Rejected,Approved,Approved,Rejected,Approved","TensorFlow,TensorFlow,Django,Selenium,React.js","Advanced,Advanced,Beginner,Beginner,Advanced","Agile Product Management,Java,Leadership,Behavior-Driven Development,Accessibility,Microservices,Azure,HTML,CSS,Data Visualization,Business Analysis,Continuous Deployment"
43,EMP_44,Antony Somner,"AWS,GraphQL,TensorFlow,Express.js,Java","Approved,Approved,Approved,Approved,Rejected","AWS,GraphQL,TensorFlow,Express.js,Java","Advanced,Advanced,Beginner,Beginner,Advanced","Docker,Continuous Deployment,Data Visualization,Scrum,Problem Solving,Prototyping,Flask,CSS,User Stories,Java,Machine Learning,Problem Solving"
44,EMP_45,Elsey Threadgill,"Teamwork and Collaboration,JIRA,Teamwork and Collaboration,Selenium,Adobe XD","Rejected,Rejected,Rejected,Rejected,Rejected","Teamwork and Collaboration,JIRA,Teamwork and Collaboration,Selenium,Adobe XD","Advanced,Advanced,Beginner,Intermediate,Intermediate","Angular,Python,UI/UX Design,User Research,SQL,Swift,Agile Product Management,Python,React,Continuous Integration,Git,AWS"
45,EMP_46,Lind Beverage,"Research Skills,SQL,Attention to Detail,Time Management,Customer Service Skills","Rejected,Rejected,Rejected,Rejected,Rejected","Research Skills,SQL,Attention to Detail,Time Management,Customer Service Skills","Advanced,Beginner,Intermediate,Intermediate,Beginner","Data Science,MySQL,CSS,Kubernetes,Scrum,HTML,Penetration Testing,PHP,Accessibility,DevOps,Responsive Design,Data Analysis"
46,EMP_47,Estell Nickols,"Adaptability,Kubernetes,Jenkins,Adaptability,Time Management","Rejected,Rejected,Rejected,Rejected,Approved","Adaptability,Kubernetes,Jenkins,Adaptability,Time Management","Intermediate,Beginner,Advanced,Advanced,Advanced","Statistical Analysis,Swift,Leadership,PHP,Support,Ruby,Java,Technical Writing,C#,Statistical Analysis,Support,Vue.js"
47,EMP_48,Abigale Koppelmann,"Google Cloud Platform,Hibernate,AWS,Spring Framework,Figma","Rejected,Approved,Rejected,Rejected,Approved","Google Cloud Platform,Hibernate,AWS,Spring Framework,Figma","Beginner,Beginner,Beginner,Advanced,Advanced","Ruby,HTML,Test-Driven Development,Angular,C#,Google Cloud Platform,Network Security,NoSQL,Communication,Machine Learning,Interaction Design,PostgreSQL"
48,EMP_49,Drucy Harris,"Django,Spark),Teamwork and Collaboration,SQL,Blockchain Development (Solidity","Rejected,Approved,Rejected,Approved,Rejected","Django,Spark),Teamwork and Collaboration,SQL,Blockchain Development (Solidity","Advanced,Advanced,Advanced,Intermediate,Beginner","Cybersecurity,Collaboration,Troubleshooting,Data Science,Containerization,Cybersecurity,Kubernetes,Requirements Analysis,HTML,Data Analysis,User Research,Objective-C"
49,EMP_50,Archibald Pischof,"Scikit-learn,PyTorch,Swift,Kubernetes,SQL","Rejected,Rejected,Rejected,Rejected,Rejected","Scikit-learn,PyTorch,Swift,Kubernetes,SQL","Beginner,Advanced,Beginner,Advanced,Advanced","Statistical Analysis,JavaScript,Data Science,Kotlin,Data Analysis,Support,Angular,Support,User Stories,Data Visualization,Behavior-Driven Development,DevOps"
50,EMP_51,Isaac Carpe,"Python,MySQL,Express.js,Django,Communication Skills","Approved,Approved,Rejected,Approved,Rejected","Python,MySQL,Express.js,Django,Communication Skills","Intermediate,Advanced,Intermediate,Beginner,Intermediate","Django,Node.js,Data Science,Wireframing,Kubernetes,Communication,Accessibility,Problem Solving,SQL,Communication,Technical Writing,Product Management"
51,EMP_52,Korella Blucher,"Attention to Detail,Attention to Detail,Communication Skills,SQL,Customer Service Skills","Rejected,Rejected,Approved,Rejected,Approved","Attention to Detail,Attention to Detail,Communication Skills,SQL,Customer Service Skills","Intermediate,Advanced,Advanced,Intermediate,Advanced","Business Analysis,Ruby,MongoDB,Vue.js,Python,Business Analysis,Interaction Design,UI/UX Design,Django,Swift,Prototyping,Statistical Analysis"
52,EMP_53,Carlota Buyers,"Natural Language Processing (NLP),Azure,Time Management,Ethereum),Adobe XD","Approved,Rejected,Rejected,Rejected,Rejected","Natural Language Processing (NLP),Azure,Time Management,Ethereum),Adobe XD","Advanced,Intermediate,Intermediate,Advanced,Advanced","C#,Behavior-Driven Development,Problem Solving,MongoDB,Node.js,Interaction Design,Ruby,RESTful API,Containerization,Statistical Analysis,Git,Microservices"
53,EMP_54,Galen Giacomello,"Attention to Detail,HTML/CSS,TensorFlow,Flask,Scikit-learn","Approved,Approved,Rejected,Approved,Approved","Attention to Detail,HTML/CSS,TensorFlow,Flask,Scikit-learn","Intermediate,Advanced,Intermediate,Beginner,Advanced","Scrum,Wireframing,Problem Solving,Docker,Documentation,Leadership,Vue.js,Agile Product Management,Support,NoSQL,Accessibility,Scrum"
54,EMP_55,Meir Cescot,"PyTorch,Express.js,Kubernetes,Customer Service Skills,Java","Approved,Rejected,Approved,Approved,Rejected","PyTorch,Express.js,Kubernetes,Customer Service Skills,Java","Intermediate,Beginner,Intermediate,Intermediate,Advanced","Data Science,Java,Scrum,Microservices,SQL,Product Management,Responsive Design,SQL,React,Documentation,Product Management,C#"
55,EMP_56,Moore Harcus,"TensorFlow,Figma,Big Data Technologies (Hadoop,Express.js,UI/UX Design Principles","Approved,Rejected,Rejected,Rejected,Rejected","TensorFlow,Figma,Big Data Technologies (Hadoop,Express.js,UI/UX Design Principles","Beginner,Intermediate,Beginner,Beginner,Intermediate","Data Science,UI/UX Design,Angular,Network Security,Wireframing,Agile Methodologies,Interaction Design,Kubernetes,Flask,Docker,DevOps,Git"
56,EMP_57,Timmie Abbis,"Customer Service Skills,Arduino,JavaScript,GraphQL,Google Cloud Platform","Approved,Approved,Approved,Approved,Rejected","Customer Service Skills,Arduino,JavaScript,GraphQL,Google Cloud Platform","Advanced,Advanced,Advanced,Advanced,Intermediate","Leadership,Docker,Wireframing,PHP,Ruby,.NET,Technical Writing,Flask,Data Visualization,Swift,Test-Driven Development,DevOps"
57,EMP_58,Scotty McMullen,"Angular,Xcode,JavaScript,Azure,Project Management Skills","Rejected,Approved,Rejected,Rejected,Rejected","Angular,Xcode,JavaScript,Azure,Project Management Skills","Intermediate,Intermediate,Beginner,Intermediate,Intermediate","Microservices,Network Security,Kubernetes,Penetration Testing,Agile Methodologies,Angular,MySQL,React,Problem Solving,Objective-C,Scrum,Django"
58,EMP_59,Britta Thrustle,"Communication Skills,Customer Service Skills,PyTorch,Android Studio,Selenium","Rejected,Approved,Approved,Approved,Approved","Communication Skills,Customer Service Skills,PyTorch,Android Studio,Selenium","Advanced,Intermediate,Beginner,Beginner,Beginner","Network Security,Python,Behavior-Driven Development,Interaction Design,Continuous Deployment,Wireframing,Flask,Statistical Analysis,Behavior-Driven Development,Test-Driven Development,Continuous Deployment,Kubernetes"
59,EMP_60,Jeanne MacCallion,"Communication Skills,Figma,IoT Development,Swift,PostgreSQL","Rejected,Approved,Rejected,Approved,Approved","Communication Skills,Figma,IoT Development,Swift,PostgreSQL","Intermediate,Advanced,Advanced,Advanced,Beginner","Vue.js,Google Cloud Platform,Product Management,Python,UI/UX Design,User Research,Business Analysis,Communication,Cybersecurity,Azure,Prototyping,Flask"
60,EMP_61,Dukie Storres,"Express.js,Teamwork and Collaboration,JavaScript,Django,Django","Approved,Approved,Approved,Rejected,Approved","Express.js,Teamwork and Collaboration,JavaScript,Django,Django","Intermediate,Beginner,Advanced,Intermediate,Beginner","Continuous Integration,Prototyping,Cybersecurity,Flask,Data Science,Python,Collaboration,Documentation,Technical Writing,SQL,Behavior-Driven Development,JavaScript"
61,EMP_62,Gui Edis,"Spring Framework,Scikit-learn,Flask,PyTorch,Jenkins","Rejected,Approved,Rejected,Approved,Rejected","Spring Framework,Scikit-learn,Flask,PyTorch,Jenkins","Advanced,Intermediate,Beginner,Beginner,Advanced","Continuous Integration,Support,Node.js,Data Science,DevOps,.NET,Wireframing,React,Machine Learning,Technical Writing,Node.js,Troubleshooting"
62,EMP_63,Deonne Bote,"RESTful APIs,Communication Skills,JavaScript,IoT Development,IoT Development","Rejected,Approved,Approved,Rejected,Rejected","RESTful APIs,Communication Skills,JavaScript,IoT Development,IoT Development","Beginner,Intermediate,Intermediate,Beginner,Advanced","Artificial Intelligence,Penetration Testing,User Research,PHP,Network Security,PostgreSQL,Agile Product Management,Leadership,Kotlin,Artificial Intelligence,AWS,Behavior-Driven Development"
63,EMP_64,Tadeas Borge,"Teamwork and Collaboration,Flask,Spring Framework,IoT Development,Creativity and Innovation","Approved,Rejected,Approved,Rejected,Approved","Teamwork and Collaboration,Flask,Spring Framework,IoT Development,Creativity and Innovation","Intermediate,Beginner,Intermediate,Beginner,Beginner","Penetration Testing,Scrum,Kotlin,Network Security,CSS,Continuous Integration,Product Management,Cybersecurity,Flask,MySQL,Network Security,Accessibility"
64,EMP_65,Hewitt Inge,"HTML/CSS,Spring Framework,GraphQL,IoT Development,Hibernate","Approved,Approved,Approved,Rejected,Approved","HTML/CSS,Spring Framework,GraphQL,IoT Development,Hibernate","Advanced,Advanced,Advanced,Intermediate,Beginner","Interaction Design,Prototyping,User Stories,Responsive Design,Django,AWS,Azure,Leadership,Google Cloud Platform,Data Visualization,Wireframing,Data Analysis"
65,EMP_66,Barbaraanne Knudsen,"Creativity and Innovation,TensorFlow,Creativity and Innovation,Selenium,Creativity and Innovation","Rejected,Approved,Rejected,Rejected,Approved","Creativity and Innovation,TensorFlow,Creativity and Innovation,Selenium,Creativity and Innovation","Advanced,Advanced,Beginner,Intermediate,Advanced","Communication,Machine Learning,Python,Support,Leadership,Statistical Analysis,Azure,Machine Learning,Troubleshooting,Kubernetes,Node.js,Azure"
66,EMP_67,Herminia Scrivinor,"GraphQL,Kubernetes,Kubernetes,Hibernate,Flask","Rejected,Approved,Rejected,Approved,Rejected","GraphQL,Kubernetes,Kubernetes,Hibernate,Flask","Advanced,Beginner,Advanced,Beginner,Beginner","Google Cloud Platform,Prototyping,Continuous Deployment,Kubernetes,Data Visualization,CI/CD,AWS,Data Analysis,Product Management,Responsive Design,Flask,MySQL"
67,EMP_68,Lind Stanworth,"HTML/CSS,Arduino,Research Skills,Research Skills,RESTful APIs","Approved,Rejected,Rejected,Rejected,Approved","HTML/CSS,Arduino,Research Skills,Research Skills,RESTful APIs","Beginner,Intermediate,Intermediate,Advanced,Beginner","Agile Methodologies,NoSQL,MySQL,Accessibility,Scrum,Microservices,UI/UX Design,Azure,SQL,Agile Methodologies,Support,Ruby"
